id,datetime,weekday,hour,minutes,day,month,year,day_period,seasson,acc_cause,meteo_condition,road_condition,nr_injured,nr_dead,nr_vehicles,lat,lon
231,2023-02-15 20:26:00,2,20,26,15,2,2023,Evening,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Înnourat,Uscată,2,0,1,228092.81885861,216432.72951645
232,2023-02-15 08:49:00,2,8,49,15,2,2023,Morning,Winter,Neacordarea priorității altor autovehicule,Timp senin,Uscată,1,0,2,233983.23761462,205305.5451301
233,2023-02-16 13:34:00,3,13,34,16,2,2023,Afternoon,Winter,Neacordarea priorității pietonilor,Timp senin,Uscată,2,0,1,234932.35965973,206493.29294716
234,2023-02-17 12:32:00,4,12,32,17,2,2023,Afternoon,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Timp senin,Uscată,1,0,2,234572.69620897,208780.6818524
235,2023-02-16 14:42:00,3,14,42,16,2,2023,Afternoon,Winter,"Stare de ebrietate alcoolică, adormire la volan",Timp senin,Uscată,1,0,1,232546.86708259,210078.83818708
236,2023-02-16 15:53:00,3,15,53,16,2,2023,Early Afternoon,Winter,Neacordarea priorității pietonilor,Timp senin,Uscată,1,0,1,234252.63583433,209549.60537404
237,2023-02-16 14:42:00,3,14,42,16,2,2023,Afternoon,Winter,Neacordarea priorității pietonilor,Timp senin,Uscată,1,0,1,233646.40927122,208224.58857581
238,2023-02-16 20:30:00,3,20,30,16,2,2023,Evening,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Timp senin,Uscată,1,0,1,234988.54130384,207878.01748171
239,2023-02-18 20:10:00,5,20,10,18,2,2023,Evening,Winter,Neacordarea priorității altor autovehicule,Înnourat,Uscată,4,0,2,208993.1686507,266910.79077719
240,2023-02-18 02:05:00,5,2,5,18,2,2023,Late Night,Winter,"Neasigurarea la schimbarea benzii sau direcției de mers, viraj incorect",Înnourat,Uscată,2,0,2,237351.48217725,213334.10577197
241,2023-02-18 12:52:00,5,12,52,18,2,2023,Afternoon,Winter,Neacordarea priorității pietonilor,Timp senin,Uscată,1,0,1,228476.41812474,209954.09155368
242,2023-02-17 08:00:00,4,8,0,17,2,2023,Morning,Winter,"Neasigurarea la schimbarea benzii sau direcției de mers, viraj incorect",Timp senin,Uscată,1,0,1,143599.55980593,259199.95709961
243,2023-02-18 15:46:00,5,15,46,18,2,2023,Early Afternoon,Winter,"Neasigurarea la schimbarea benzii sau direcției de mers, viraj incorect",Timp senin,Uscată,4,0,2,235728.99646613,212359.32967333
244,2023-02-17 00:30:00,4,0,30,17,2,2023,Late Night,Winter,"Stare de ebrietate alcoolică, adormire la volan",Timp senin,Uscată,2,0,2,231775.26302086,310839.74465228
245,2023-02-18 02:12:00,5,2,12,18,2,2023,Late Night,Winter,Neacordarea priorității pietonilor,Ploaie,Umedă,1,0,1,161999.20248587,294124.81314694
246,2023-02-18 16:25:00,5,16,25,18,2,2023,Early Afternoon,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Timp senin,Umedă,2,0,2,150447.15097921,269172.5407696
